MS,MP,ML,EsS,EsP,EsL,Clase
3.857142857,2.857142857,2.857142857,3.285714286,3.142857143,2.857142857,ES
4.142857143,3.857142857,4.714285714,3.285714286,3.857142857,4,EL
4,4.571428571,4.285714286,2.571428571,4.142857143,3.857142857,EP
4.142857143,3.714285714,4.857142857,3.857142857,4,4.857142857,EL
3.285714286,3.428571429,4.142857143,2.714285714,3.714285714,3.714285714,EL
3.857142857,3.571428571,4,3,3.571428571,3,EP
3.571428571,3.714285714,4.571428571,3.571428571,3.714285714,3.571428571,EL
3.285714286,4,4.285714286,2.714285714,4,3,EP
2.857142857,3.714285714,3.285714286,2.428571429,2.714285714,2.142857143,EP
3.857142857,3.857142857,4.285714286,3.571428571,3.285714286,3.285714286,EL
5,4.428571429,5,4.285714286,4.571428571,4.285714286,ES
2.857142857,3.571428571,3.142857143,3,2.714285714,2.428571429,EP
3.142857143,2.857142857,3.857142857,3,3,2.857142857,EL
4.285714286,4.428571429,5,3.857142857,4.857142857,5,EL
2.857142857,3.714285714,4.571428571,3.285714286,3.857142857,2.428571429,EP
3.857142857,4.285714286,4.285714286,3.142857143,4,4,EP
2.857142857,3.428571429,3.571428571,2.857142857,3.285714286,3.571428571,EL
3,2.857142857,3.142857143,2.857142857,3.428571429,3.142857143,EP
3.142857143,4,4.428571429,4.142857143,4.142857143,4.285714286,EL
3.857142857,4,4.285714286,3.285714286,3.571428571,3.428571429,EL
3.857142857,2.857142857,4.285714286,3,3.428571429,4.142857143,EL
3.285714286,3.285714286,3.571428571,3,3.428571429,3.285714286,EL
4,3.285714286,3.857142857,3.571428571,2.857142857,3.142857143,ES
4.428571429,4,3.571428571,3,2.857142857,2.857142857,ES
3.285714286,4.142857143,3.857142857,3.285714286,4,4.142857143,EP
3.714285714,3.571428571,3.714285714,3.142857143,3.428571429,3.142857143,EP
3.428571429,3.428571429,4.142857143,3.285714286,3.285714286,3,EL
4,3.857142857,3.571428571,3.571428571,3,3.285714286,ES
3.571428571,3.285714286,3.142857143,3.428571429,3.142857143,3.285714286,ES
3.571428571,3.857142857,4.285714286,3.428571429,3.285714286,3,EL
3.714285714,3.714285714,3.285714286,2.857142857,2.857142857,3.428571429,EL
3.285714286,3.714285714,3.285714286,3.571428571,3.571428571,3.285714286,EP
3.714285714,3.571428571,3.571428571,3,3.285714286,3.285714286,EP
3.714285714,3.428571429,3.428571429,3.142857143,3.857142857,3.142857143,EP
2.428571429,3.285714286,3.142857143,3.142857143,1.857142857,3,EL
4.142857143,4,4.428571429,3.428571429,3,3.142857143,ES
4,4.428571429,4.428571429,3.714285714,4,4,EP
3.285714286,4,4.571428571,3.142857143,3.714285714,3.142857143,EP
4.142857143,4.285714286,4.428571429,3.857142857,4,3.857142857,EP
4.714285714,4.428571429,4.428571429,3.857142857,3.857142857,3.857142857,ES
3.857142857,4.142857143,3.857142857,3.571428571,3.142857143,2.714285714,ES
3.857142857,3.285714286,3.571428571,3.142857143,3.428571429,3,ES
4.285714286,4,4.571428571,3.142857143,3.142857143,3.714285714,EL
4.285714286,4.428571429,4.428571429,3.285714286,3.428571429,3.285714286,EP
4.857142857,3.857142857,3.714285714,3.428571429,4,3.142857143,ES
3.428571429,4.571428571,4.285714286,3.428571429,4.142857143,4,EP
3.285714286,3.285714286,3.571428571,2.714285714,3.285714286,3,EP
4.142857143,4.142857143,3.857142857,3,3,3.714285714,EL
2.714285714,3.714285714,3.857142857,3.142857143,3.571428571,2.285714286,EP
3.142857143,4,3.285714286,3.428571429,3.571428571,2.857142857,EP
3.714285714,4.142857143,3.428571429,3.571428571,3.285714286,4.285714286,EL
4.714285714,4.285714286,4,3.571428571,4.285714286,4.285714286,EP
3.142857143,4.714285714,5,3,4.428571429,2.714285714,EP
2.714285714,3.428571429,3.857142857,3,3.428571429,2.285714286,EP
3.714285714,2.571428571,3.571428571,2.285714286,3.285714286,2.428571429,ES
3.142857143,3.285714286,3.428571429,3.285714286,3.285714286,2.428571429,EP
3.857142857,3.857142857,4.857142857,3.285714286,4.142857143,3,EP
4.571428571,4.142857143,3.857142857,4.142857143,4.142857143,4,ES
3.571428571,3.428571429,4.428571429,4.142857143,3.714285714,3.714285714,EL
4.142857143,4.285714286,4.571428571,4,3.714285714,3.428571429,ES
4.142857143,4.857142857,5,3.571428571,3.714285714,3.857142857,EL
2.428571429,3.571428571,2.857142857,2.714285714,2.142857143,3.142857143,EL
3.714285714,3.714285714,3.714285714,3.571428571,3.428571429,3.428571429,ES
4.142857143,4.571428571,4.285714286,3.428571429,3.428571429,3,EP
3.285714286,4,4.714285714,3.714285714,3.285714286,3.428571429,EL
3.285714286,3,2.571428571,3,2.428571429,2,ES
4.285714286,4.142857143,4.571428571,3.714285714,4,4.428571429,EL
4,3.714285714,3.714285714,3,4.142857143,4.428571429,EL
3.714285714,3.285714286,3.285714286,3.285714286,2.857142857,4,EL
2,2.285714286,3,3.571428571,2.571428571,2.714285714,EL
3.428571429,3.428571429,3.428571429,3.142857143,3.571428571,3.428571429,EP
3,2.714285714,3.857142857,3.428571429,3.857142857,3.714285714,EL
3.428571429,3.714285714,3.428571429,3,3.428571429,3.571428571,EP
2.571428571,3.571428571,4.142857143,3.857142857,3.142857143,3.285714286,EL
3.714285714,4.142857143,3.142857143,3.142857143,3.714285714,3.428571429,EP
3.857142857,4,4,3.142857143,3.571428571,3.428571429,EP
4.857142857,4.285714286,4.142857143,4.142857143,4.571428571,4.571428571,ES
4.142857143,3.857142857,3.857142857,3.285714286,3.142857143,3.285714286,ES
3.857142857,4.142857143,4.285714286,3.714285714,4,4.285714286,EL
3.142857143,3.714285714,3.285714286,3,4.571428571,4.571428571,EP
3.285714286,3.571428571,4,3.285714286,3,3.571428571,EL
3.428571429,3.571428571,4,3.428571429,3.428571429,3.571428571,EL
3.714285714,3.428571429,3.428571429,3.428571429,3.571428571,3.571428571,ES
3.714285714,3.857142857,3.857142857,3.142857143,3.714285714,3.571428571,EP
3.285714286,3.857142857,3.714285714,3,2.571428571,3.142857143,EL
2.714285714,2.571428571,3.285714286,2.285714286,2.428571429,3.285714286,EL
3.571428571,3.714285714,3.714285714,2.857142857,4.714285714,4.428571429,EP
3.571428571,3.714285714,3.857142857,2.857142857,3.142857143,3.142857143,EL
3,2.142857143,2.428571429,2.428571429,2.285714286,2.285714286,ES
3.285714286,4,4,2.857142857,2.857142857,3,EL
3.428571429,3.428571429,4.142857143,3.142857143,3.714285714,3.857142857,EL
4.142857143,3.285714286,4,3.142857143,3.714285714,3.571428571,EL
2.857142857,3.285714286,3.714285714,2.714285714,3.428571429,3.428571429,EL
3.285714286,3.714285714,3.857142857,2.857142857,2.428571429,3.428571429,EL
3.428571429,3.571428571,4,3.142857143,3.714285714,3.714285714,EL
3.714285714,3.857142857,4,3.571428571,3.285714286,3.857142857,EL
2.857142857,4.285714286,4.285714286,3.714285714,4,3.428571429,EP
3,4.714285714,3.428571429,3.428571429,4.142857143,2.428571429,EP
3.714285714,4,3,3.285714286,3.714285714,3.285714286,EP
3.857142857,4.142857143,4,3.714285714,4,3.285714286,EP
4.285714286,4,3.571428571,4.142857143,3.285714286,3.428571429,ES
3.142857143,4.142857143,4,3.285714286,4.285714286,4,EP
4.142857143,4.428571429,4.714285714,4.142857143,4.142857143,4.428571429,EL
4.142857143,3.857142857,4.714285714,2.857142857,4.142857143,4.714285714,EL
3.142857143,3,3.142857143,2.714285714,3.142857143,2.571428571,EP
3.857142857,4,4,3.428571429,3.714285714,3.571428571,EP
3.428571429,4.571428571,3.857142857,3.285714286,4.285714286,4.428571429,EP
3.142857143,3.857142857,3,2.571428571,3.714285714,3.571428571,EP
4,4.428571429,4.714285714,4.428571429,3.714285714,3.571428571,ES
3.142857143,3.571428571,3.571428571,2.285714286,3.428571429,3.428571429,EP
2.714285714,4,4,2.571428571,2.285714286,2,EP
4.285714286,3,3.571428571,4.571428571,4.285714286,3.714285714,ES
3.857142857,3.857142857,4,3,3.285714286,4,EL
3,3.714285714,3.428571429,2.571428571,3.428571429,3,EP
4.142857143,3.571428571,3.857142857,3.571428571,3.714285714,3.571428571,ES
2.571428571,2.857142857,3.285714286,2.428571429,3.285714286,2.714285714,EP
4.428571429,4.285714286,3.571428571,3.857142857,4.285714286,4.714285714,EP
2.714285714,2.428571429,3.285714286,2,3.285714286,2.571428571,EL
3.714285714,4.428571429,3.714285714,3.428571429,3.571428571,2.857142857,EP
3.428571429,3.142857143,3.285714286,3.714285714,2.714285714,3.285714286,ES
3.714285714,3.857142857,4.285714286,4,3.714285714,4.285714286,EL
3.285714286,3.285714286,3.857142857,2.714285714,3,2.714285714,EL
3.428571429,3.428571429,4.142857143,2.428571429,3.142857143,3.714285714,EL
3.714285714,4.142857143,4.142857143,3.428571429,3.428571429,3.857142857,EL
3.428571429,3.714285714,4,3,3.285714286,3,EP
3.428571429,3.142857143,4.142857143,3.142857143,4,2.571428571,EP
3.571428571,2.857142857,3.285714286,3,3,3.142857143,ES
1.428571429,2.428571429,2.428571429,1.714285714,1,2.857142857,EL
3,3.857142857,3.857142857,3,3.285714286,3.285714286,EP
2.714285714,3,3.857142857,2.428571429,3.571428571,3.142857143,EL
4.285714286,3.571428571,4,3,4.142857143,3.857142857,EL
3.714285714,4,4,3.285714286,3.428571429,3.285714286,EP
3.428571429,2.714285714,3.857142857,2.714285714,2.857142857,3,EL
2.714285714,3.428571429,2.714285714,1.857142857,3.285714286,3.571428571,EP
3.571428571,3,4,2.142857143,2.857142857,3,EL
4.428571429,4,3.571428571,3.571428571,3.571428571,2.857142857,ES
3.285714286,3.428571429,3.571428571,3.285714286,3.571428571,3.285714286,EP
4.285714286,3.571428571,3.857142857,3.857142857,3.285714286,3.857142857,ES
3.285714286,3.571428571,4,3,3.285714286,3.428571429,EL
4.142857143,4.285714286,5,4.142857143,4.428571429,4.857142857,EL
3.428571429,3.285714286,3.428571429,3,3.285714286,3.857142857,EL
3.285714286,4.285714286,4.142857143,4,5,4.285714286,EP
4.142857143,4.285714286,4.428571429,3.571428571,4.857142857,4.285714286,EP
3.571428571,3.285714286,3.285714286,3.142857143,3.714285714,3.285714286,EP
3.857142857,3.142857143,4.714285714,3,5,4.428571429,EL
4.142857143,3.714285714,3.571428571,3.142857143,3.571428571,4.285714286,EL
3.142857143,3.285714286,4.285714286,2.857142857,3.857142857,4,EL
3.142857143,3.571428571,4.142857143,3.571428571,4.285714286,4.714285714,EL
